

name,technology,composition,price,manufacturer,website,color,opacity,tags,diameter,filament_extrusion_to_flow_multiplier,temp_extrude_default,temp_extrude_min,temp_extrude_max,bed_temp,min_nozzle_diameter,extruder_fan_speed,weight,bed_material,buy_now
"PLA Premium 1.75mm Yellow","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Yellow","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568247-pla-premium-1-75mm-yellow",
"PLA Premium 1.75mm Gold","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Gold","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568248-pla-premium-1-75mm-gold",
"PLA Premium 1.75mm Light Blue","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Light Blue","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568249-pla-premium-1-75mm-light-blue",
"PLA Premium 1.75mm Pink","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Pink","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568250-pla-premium-1-75mm-pink",
"PLA Premium 1.75mm Grey","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Grey","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568251-pla-premium-1-75mm-grey",
"PLA Premium 1.75mm Natural","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Natural","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568252-pla-premium-1-75mm-natural",
"PLA Premium 1.75mm Black","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Black","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568253-pla-premium-1-75mm-black",
"PLA Premium 1.75mm White","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm White","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568254-pla-premium-1-75mm-white",
"PLA Premium 1.75mm Silver","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Silver","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568255-pla-premium-1-75mm-silver",
"PLA Premium 1.75mm Dark Blue","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Dark Blue","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568361-pla-premium-1-75mm-dark-blue",
"PLA Premium 1.75mm Red","FDM","PLA","34,91 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Red","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568362-pla-premium-1-75mm-red",
"PLA Premium 1.75mm Apple Green","FDM","PLA","45,90 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Apple Green","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568394-pla-premium-1-75mm-apple-green",
"PLA Premium 1.75mm Dark Green","FDM","PLA","45,90 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Dark Green","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568395-pla-premium-1-75mm-dark-green",
"PLA Premium 1.75mm Glow in the dark","FDM","PLA","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","1Kg of PLA Premium 1.75mm Glow in the dark","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568454-pla-premium-1-75mm-glow-in-the-dark",
"PLA Premium 1.75mm White 2,3Kg","FDM","PLA","34,90 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","2,3Kg of PLA Premium 1.75mm White","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568457-pla-premium-1-75mm-white-2-3kg",
"PLA Premium 1.75mm Black 2,3Kg","FDM","PLA","24,90 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","200","190","210","60","","255","2,3Kg of PLA Premium 1.75mm Black","blue tape, glass, glue stick","http://www.reprap-3d-printer.com/product/1234568458-pla-premium-1-75mm-black-2-3kg",
